n_folds,test_score,train_score,arch,fixed_parameters
3,0.3785,0.3536,[2],"{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.2542,0.3403,[3],"{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3305,0.2911,[4],"{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3107,0.4583,[5],"{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.2994,0.3719,[6],"{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.2994,0.3071,[7],"{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3051,0.366,[9],"{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.322,0.442,[14],"{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3446,0.4029,[28],"{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3277,0.456,[56],"{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3362,0.3393,[84],"{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3079,0.4653,"[2, 2]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3277,0.3757,"[2, 3]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.2627,0.2729,"[2, 4]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3192,0.4597,"[2, 5]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.274,0.3972,"[2, 6]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.2797,0.407,"[2, 7]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.274,0.393,"[2, 9]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.2655,0.3165,"[2, 14]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3418,0.4154,"[2, 28]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.2768,0.3764,"[2, 56]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3136,0.4247,"[2, 84]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.4068,0.412,"[3, 2]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3079,0.4653,"[3, 3]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.4011,0.3881,"[3, 4]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3079,0.4653,"[3, 5]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3785,0.3536,"[3, 6]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3333,0.4532,"[3, 7]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.2853,0.3183,"[3, 9]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.339,0.4391,"[3, 14]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.291,0.4168,"[3, 28]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.2994,0.4555,"[3, 56]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3559,0.4391,"[3, 84]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.2797,0.407,"[4, 2]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3079,0.4653,"[4, 3]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.2881,0.3286,"[4, 4]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3588,0.3495,"[4, 5]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3164,0.4709,"[4, 6]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3164,0.364,"[4, 7]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3588,0.2687,"[4, 9]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3079,0.4583,"[4, 14]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.2542,0.3305,"[4, 28]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3249,0.4551,"[4, 56]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3079,0.4653,"[4, 84]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.2938,0.2707,"[5, 2]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.2542,0.3403,"[5, 3]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3785,0.3536,"[5, 4]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3164,0.4653,"[5, 5]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.339,0.4574,"[5, 6]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3333,0.3776,"[5, 7]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.2825,0.2469,"[5, 9]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.2571,0.3403,"[5, 14]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3136,0.4667,"[5, 28]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3277,0.4107,"[5, 56]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3136,0.4653,"[5, 84]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.2853,0.3141,"[6, 2]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.2938,0.33,"[6, 3]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.2712,0.3095,"[6, 4]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3136,0.3612,"[6, 5]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.4209,0.3895,"[6, 6]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.274,0.3197,"[6, 7]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.2938,0.2324,"[6, 9]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3136,0.4611,"[6, 14]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.2768,0.3484,"[6, 28]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3588,0.4345,"[6, 56]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.322,0.4663,"[6, 84]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.339,0.4144,"[7, 2]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3418,0.3705,"[7, 3]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.2797,0.407,"[7, 4]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3418,0.3803,"[7, 5]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3249,0.3929,"[7, 6]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3051,0.4224,"[7, 7]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3785,0.3627,"[7, 9]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3164,0.4068,"[7, 14]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3362,0.47,"[7, 28]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3051,0.435,"[7, 56]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3164,0.4551,"[7, 84]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3588,0.3495,"[9, 2]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3107,0.3808,"[9, 3]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.339,0.4391,"[9, 4]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3079,0.4406,"[9, 5]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3277,0.3757,"[9, 6]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3164,0.4569,"[9, 7]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3164,0.3869,"[9, 9]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.3277,0.4093,"[9, 14]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
3,0.339,0.4212,"[9, 28]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.5, 'max_iter': 250}"
