n_folds,n_estim,n_depth,test_score,train_score
4,2,2,0.2952,0.5027
4,2,4,0.3324,0.619
4,2,8,0.3271,0.7865
4,2,16,0.2846,0.8048
4,2,32,0.2739,0.8041
4,2,64,0.2739,0.8041
4,2,128,0.2739,0.8041
4,2,256,0.2739,0.8041
4,2,512,0.2739,0.8041
4,2,1024,0.2739,0.8041
4,2,2048,0.2739,0.8041
4,2,4096,0.2739,0.8041
4,4,2,0.2952,0.5322
4,4,4,0.3378,0.6771
4,4,8,0.2899,0.8604
4,4,16,0.3112,0.8918
4,4,32,0.3032,0.8931
4,4,64,0.3032,0.8931
4,4,128,0.3032,0.8931
4,4,256,0.3032,0.8931
4,4,512,0.3032,0.8931
4,4,1024,0.3032,0.8931
4,4,2048,0.3032,0.8931
4,4,4096,0.3032,0.8931
4,8,2,0.2793,0.5323
4,8,4,0.3138,0.7292
4,8,8,0.3484,0.9363
4,8,16,0.3298,0.9617
4,8,32,0.3378,0.9602
4,8,64,0.3378,0.9602
4,8,128,0.3378,0.9602
4,8,256,0.3378,0.9602
4,8,512,0.3378,0.9602
4,8,1024,0.3378,0.9602
4,8,2048,0.3378,0.9602
4,8,4096,0.3378,0.9602
4,16,2,0.3032,0.568
4,16,4,0.3777,0.7532
4,16,8,0.3245,0.9776
4,16,16,0.359,0.9961
4,16,32,0.3777,0.9961
4,16,64,0.3777,0.9961
4,16,128,0.3777,0.9961
4,16,256,0.3777,0.9961
4,16,512,0.3777,0.9961
4,16,1024,0.3777,0.9961
4,16,2048,0.3777,0.9961
4,16,4096,0.3777,0.9961
4,32,2,0.2979,0.5772
4,32,4,0.359,0.8182
4,32,8,0.3457,0.9963
4,32,16,0.3511,1.0
4,32,32,0.3511,1.0
4,32,64,0.3511,1.0
4,32,128,0.3511,1.0
4,32,256,0.3511,1.0
4,32,512,0.3511,1.0
4,32,1024,0.3511,1.0
4,32,2048,0.3511,1.0
4,32,4096,0.3511,1.0
4,64,2,0.2846,0.5817
4,64,4,0.3404,0.8423
4,64,8,0.359,1.0
4,64,16,0.3431,1.0
4,64,32,0.3484,1.0
4,64,64,0.3484,1.0
4,64,128,0.3484,1.0
4,64,256,0.3484,1.0
4,64,512,0.3484,1.0
4,64,1024,0.3484,1.0
4,64,2048,0.3484,1.0
4,64,4096,0.3484,1.0
4,128,2,0.3059,0.5927
4,128,4,0.375,0.87
4,128,8,0.3431,0.9993
4,128,16,0.3431,1.0
4,128,32,0.3484,1.0
4,128,64,0.3484,1.0
4,128,128,0.3484,1.0
4,128,256,0.3484,1.0
4,128,512,0.3484,1.0
4,128,1024,0.3484,1.0
4,128,2048,0.3484,1.0
4,128,4096,0.3484,1.0
4,256,2,0.3032,0.5969
4,256,4,0.3351,0.8717
4,256,8,0.3378,0.9993
4,256,16,0.3537,1.0
4,256,32,0.359,1.0
4,256,64,0.359,1.0
4,256,128,0.359,1.0
4,256,256,0.359,1.0
4,256,512,0.359,1.0
4,256,1024,0.359,1.0
4,256,2048,0.359,1.0
4,256,4096,0.359,1.0
4,512,2,0.2926,0.6088
4,512,4,0.3324,0.8771
4,512,8,0.3511,1.0
4,512,16,0.3404,1.0
4,512,32,0.3511,1.0
4,512,64,0.3511,1.0
4,512,128,0.3511,1.0
4,512,256,0.3511,1.0
4,512,512,0.3511,1.0
4,512,1024,0.3511,1.0
4,512,2048,0.3511,1.0
4,512,4096,0.3511,1.0
4,1024,2,0.3112,0.602
4,1024,4,0.3191,0.8797
4,1024,8,0.3404,1.0
4,1024,16,0.3404,1.0
4,1024,32,0.3431,1.0
4,1024,64,0.3431,1.0
4,1024,128,0.3431,1.0
4,1024,256,0.3431,1.0
4,1024,512,0.3431,1.0
4,1024,1024,0.3431,1.0
4,1024,2048,0.3431,1.0
4,1024,4096,0.3431,1.0
4,2048,2,0.3005,0.6079
4,2048,4,0.3218,0.8811
4,2048,8,0.3378,1.0
4,2048,16,0.3404,1.0
4,2048,32,0.3351,1.0
4,2048,64,0.3351,1.0
4,2048,128,0.3351,1.0
4,2048,256,0.3351,1.0
4,2048,512,0.3351,1.0
4,2048,1024,0.3351,1.0
4,2048,2048,0.3351,1.0
4,2048,4096,0.3351,1.0
4,4096,2,0.2952,0.6035
4,4096,4,0.3191,0.876
4,4096,8,0.3378,1.0
4,4096,16,0.3351,1.0
4,4096,32,0.3378,1.0
4,4096,64,0.3378,1.0
4,4096,128,0.3378,1.0
4,4096,256,0.3378,1.0
4,4096,512,0.3378,1.0
4,4096,1024,0.3378,1.0
4,4096,2048,0.3378,1.0
4,4096,4096,0.3378,1.0
3,2,2,0.3418,0.4998
3,2,4,0.2853,0.611
3,2,8,0.3475,0.738
3,2,16,0.2797,0.7572
3,2,32,0.2938,0.7562
3,2,64,0.2938,0.7562
3,2,128,0.2938,0.7562
3,2,256,0.2938,0.7562
3,2,512,0.2938,0.7562
3,2,1024,0.2938,0.7562
3,2,2048,0.2938,0.7562
3,2,4096,0.2938,0.7562
3,4,2,0.3192,0.5264
3,4,4,0.3107,0.6689
3,4,8,0.3588,0.8335
3,4,16,0.3107,0.8877
3,4,32,0.3164,0.8896
3,4,64,0.3164,0.8896
3,4,128,0.3164,0.8896
3,4,256,0.3164,0.8896
3,4,512,0.3164,0.8896
3,4,1024,0.3164,0.8896
3,4,2048,0.3164,0.8896
3,4,4096,0.3164,0.8896
3,8,2,0.3362,0.5477
3,8,4,0.3136,0.7155
3,8,8,0.3192,0.9309
3,8,16,0.3164,0.9534
3,8,32,0.3107,0.9576
3,8,64,0.3107,0.9576
3,8,128,0.3107,0.9576
3,8,256,0.3107,0.9576
3,8,512,0.3107,0.9576
3,8,1024,0.3107,0.9576
3,8,2048,0.3107,0.9576
3,8,4096,0.3107,0.9576
3,16,2,0.3079,0.5514
3,16,4,0.2994,0.7589
3,16,8,0.339,0.9743
3,16,16,0.339,0.9977
3,16,32,0.3362,0.9991
3,16,64,0.3362,0.9991
3,16,128,0.3362,0.9991
3,16,256,0.3362,0.9991
3,16,512,0.3362,0.9991
3,16,1024,0.3362,0.9991
3,16,2048,0.3362,0.9991
3,16,4096,0.3362,0.9991
3,32,2,0.2966,0.5575
3,32,4,0.3192,0.7878
3,32,8,0.3446,0.9883
3,32,16,0.3136,1.0
3,32,32,0.322,1.0
3,32,64,0.322,1.0
3,32,128,0.322,1.0
3,32,256,0.322,1.0
3,32,512,0.322,1.0
3,32,1024,0.322,1.0
3,32,2048,0.322,1.0
3,32,4096,0.322,1.0
3,64,2,0.2825,0.5677
3,64,4,0.2966,0.7924
3,64,8,0.3333,0.9953
3,64,16,0.3362,1.0
3,64,32,0.3305,1.0
3,64,64,0.3305,1.0
3,64,128,0.3305,1.0
3,64,256,0.3305,1.0
3,64,512,0.3305,1.0
3,64,1024,0.3305,1.0
3,64,2048,0.3305,1.0
3,64,4096,0.3305,1.0
3,128,2,0.2797,0.5634
3,128,4,0.2966,0.8045
3,128,8,0.3305,0.9925
3,128,16,0.3249,1.0
3,128,32,0.322,1.0
3,128,64,0.322,1.0
3,128,128,0.322,1.0
3,128,256,0.322,1.0
3,128,512,0.322,1.0
3,128,1024,0.322,1.0
3,128,2048,0.322,1.0
3,128,4096,0.322,1.0
3,256,2,0.291,0.5486
3,256,4,0.3023,0.7947
3,256,8,0.3333,0.9963
3,256,16,0.3559,1.0
3,256,32,0.3531,1.0
3,256,64,0.3531,1.0
3,256,128,0.3531,1.0
3,256,256,0.3531,1.0
3,256,512,0.3531,1.0
3,256,1024,0.3531,1.0
3,256,2048,0.3531,1.0
3,256,4096,0.3531,1.0
3,512,2,0.2966,0.5472
3,512,4,0.3079,0.7965
3,512,8,0.3277,0.9977
3,512,16,0.3277,1.0
3,512,32,0.3249,1.0
