offset,raw,n_estimators,n_leafs,random_state,mse,rmse
3,False,34,1,42,25784.871192398787,160.57668321521274
3,False,34,2,42,23803.52249892841,154.2839022676326
3,False,34,3,42,23906.329849188376,154.61671917741748
3,False,34,5,42,25958.77246326999,161.1172630827311
3,False,34,8,42,29718.157185685217,172.38955068589632
3,False,34,13,42,35869.956394656256,189.39365457864807
3,False,34,21,42,46079.772141054134,214.66199510172763
3,False,34,34,42,59881.52806591585,244.70702496233298
3,False,34,55,42,78047.25691680316,279.3693915174015
3,False,34,89,42,99108.63528129726,314.8152399127102
3,False,34,144,42,122233.57378417315,349.619183947582
3,False,34,233,42,143425.0658647491,378.71501932818705
6,False,34,1,42,26098.08679846886,161.54902289543213
6,False,34,2,42,24062.432556340053,155.12070318413353
6,False,34,3,42,24194.194952645863,155.54483261312754
6,False,34,5,42,26546.68674361469,162.93154005168762
6,False,34,8,42,30389.224240255404,174.3250533923779
6,False,34,13,42,37028.74745642138,192.42855156244713
6,False,34,21,42,47350.49248111679,217.60168308429232
6,False,34,34,42,61444.47666311994,247.87996422284706
6,False,34,55,42,79388.3188636953,281.759327908936
6,False,34,89,42,100506.47619886781,317.02756378407827
6,False,34,144,42,123489.31064191012,351.4104589250441
6,False,34,233,42,145077.73890947722,380.89071780430305
12,False,34,1,42,26031.583542902084,161.34306165094947
12,False,34,2,42,24116.977744770607,155.2964189695648
12,False,34,3,42,24231.34091748023,155.66419279166365
12,False,34,5,42,26437.415781598946,162.59586643454054
12,False,34,8,42,30533.064349905497,174.73712928254687
12,False,34,13,42,36822.75116116541,191.89255108306162
12,False,34,21,42,46801.471525326124,216.33647756521813
12,False,34,34,42,60842.41289110452,246.66254861876482
12,False,34,55,42,79365.3058684634,281.71848691284606
12,False,34,89,42,100214.76472812268,316.5671567426455
12,False,34,144,42,123139.81613885362,350.91283267907664
12,False,34,233,42,145079.36665339913,380.8928545580753
3,True,55,1,42,43022.40997601115,207.41844174521017
3,True,55,2,42,46086.35358885364,214.67732434715512
3,True,55,3,42,52962.95728624049,230.1368229689471
3,True,55,5,42,74079.40135752532,272.17531364457966
3,True,55,8,42,98692.45826766483,314.15355841954874
3,True,55,13,42,124028.75727035377,352.1771674460935
3,True,55,21,42,160254.70438605823,400.31825387566107
3,True,55,34,42,180277.14448190306,424.5905609901179
3,True,55,55,42,196245.43522097194,442.99597652910114
3,True,55,89,42,208865.6442509184,457.0182099773689
3,True,55,144,42,218212.3671034502,467.1320660192899
3,True,55,233,42,236526.41654066238,486.3398159113259
6,True,55,1,42,51847.93238056496,227.70141058097326
6,True,55,2,42,51303.96061380809,226.5037761579442
6,True,55,3,42,57439.366448475856,239.66511312344952
6,True,55,5,42,77959.65638383369,279.21256487456594
6,True,55,8,42,104839.29424639669,323.78896560321
6,True,55,13,42,129504.27421724677,359.86702296438165
6,True,55,21,42,151670.79257358998,389.4493453243823
6,True,55,34,42,170074.69077377417,412.4011284826633
6,True,55,55,42,186098.2282221189,431.39103864373317
6,True,55,89,42,207000.55896319402,454.9731409250375
6,True,55,144,42,224128.355503769,473.42196347842696
6,True,55,233,42,233462.11357014184,483.17917336133377
12,True,34,1,42,45983.38175138426,214.4373609037946
12,True,34,2,42,47250.7644642418,217.37240962054454
12,True,34,3,42,52737.54879978706,229.6465736730837
12,True,34,5,42,72549.5367292342,269.3502120460168
12,True,34,8,42,93940.79313845094,306.4976233814072
12,True,34,13,42,118000.0311667486,343.51132611130686
12,True,34,21,42,142152.53315248355,377.0312097857199
12,True,34,34,42,167008.91605987982,408.66724368351305
12,True,34,55,42,191085.8777001404,437.13370689085554
12,True,34,89,42,203170.87356798464,450.7447987142887
12,True,34,144,42,220714.53618783,469.80265664194576
12,True,34,233,42,233920.4489760232,483.653232157114
