offset,raw,n_estimators,n_leafs,random_state,mse,rmse
3,False,1,1,42,26598.767635337852,163.09128620296624
3,False,2,1,42,26166.62083369841,161.76099911195655
3,False,3,1,42,26062.053906209076,161.43746128519575
3,False,5,1,42,25966.084613351322,161.13995349804256
3,False,8,1,42,25878.391507129778,160.86762106505392
3,False,13,1,42,25841.248509971003,160.7521337649084
3,False,21,1,42,25800.049646167266,160.62393858378417
3,False,34,1,42,25784.871192398787,160.57668321521274
3,False,55,1,42,25775.22919151807,160.54665736638077
3,False,89,1,42,25763.90898973473,160.51139831717475
3,False,144,1,42,25757.14224038481,160.49031821385614
3,False,233,1,42,25753.09066362863,160.47769522157475
6,False,1,1,42,27078.409430513144,164.5551865804088
6,False,2,1,42,26574.249933832427,163.01610329606223
6,False,3,1,42,26389.75807888698,162.4492477018191
6,False,5,1,42,26285.965513985822,162.12947145409998
6,False,8,1,42,26197.805089258498,161.85736031845602
6,False,13,1,42,26142.127931278188,161.68527431797304
6,False,21,1,42,26117.215348589107,161.60821559744141
6,False,34,1,42,26098.08679846886,161.54902289543213
6,False,55,1,42,26087.118150606682,161.5150709705032
6,False,89,1,42,26078.106246140494,161.48717053109976
6,False,144,1,42,26076.181340880215,161.48121048865164
6,False,233,1,42,26076.87416004124,161.48335567494638
12,False,1,1,42,26897.085231415367,164.00330859898946
12,False,2,1,42,26457.718492384207,162.65828749985107
12,False,3,1,42,26311.44280735006,162.20802325208842
12,False,5,1,42,26204.791189700765,161.8789399202403
12,False,8,1,42,26126.879722203637,161.6381134578217
12,False,13,1,42,26082.880184332284,161.50195102329965
12,False,21,1,42,26046.801402064528,161.39021470357034
12,False,34,1,42,26031.583542902084,161.34306165094947
12,False,55,1,42,26023.431517960253,161.31779665604242
12,False,89,1,42,26017.084475820666,161.29812297674349
12,False,144,1,42,26011.79764758796,161.28173376916544
12,False,233,1,42,26010.21528611273,161.27682811275997
3,True,1,1,42,44915.547426290774,211.93288424945
3,True,2,1,42,44079.07208787333,209.95016572480557
3,True,3,1,42,43998.58710575787,209.75840175248732
3,True,5,1,42,43465.05885724837,208.48275434013328
3,True,8,1,42,43477.13334097405,208.51171032096505
3,True,13,1,42,43341.78298703836,208.1868943690701
3,True,21,1,42,43217.63413131809,207.88851370703023
3,True,34,1,42,43115.13995802384,207.64185502452014
3,True,55,1,42,43022.40997601115,207.41844174521017
3,True,89,1,42,42981.66333308525,207.32019518871104
3,True,144,1,42,43004.51990107264,207.37531169614343
3,True,233,1,42,43036.932501133815,207.45344658774366
6,True,1,1,42,52759.47216030519,229.69430154077656
6,True,2,1,42,51483.24246684019,226.89919009736502
6,True,3,1,42,51568.97859534866,227.0880415066999
6,True,5,1,42,51644.27444958422,227.25376663453616
6,True,8,1,42,51733.98285927832,227.45105596430702
6,True,13,1,42,52091.66256765978,228.23598000240844
6,True,21,1,42,51995.747077241715,228.02575967912423
6,True,34,1,42,52005.83077230765,228.0478694754846
6,True,55,1,42,51847.93238056496,227.70141058097326
6,True,89,1,42,51932.34163476708,227.88668595327607
6,True,144,1,42,51935.29973654709,227.8931761517819
6,True,233,1,42,51864.33381138764,227.73742294885932
12,True,1,1,42,48019.00895882527,219.13240052266408
12,True,2,1,42,46754.01100190709,216.2267582930177
12,True,3,1,42,46723.973340800905,216.1572884285906
12,True,5,1,42,46423.007351453954,215.45999014075434
12,True,8,1,42,46399.82419793179,215.40618421468727
12,True,13,1,42,46232.082339188535,215.01646992541882
12,True,21,1,42,46019.18968587282,214.5208374164916
12,True,34,1,42,45983.38175138426,214.4373609037946
12,True,55,1,42,45967.95583147537,214.40138952785583
12,True,89,1,42,46026.90000761249,214.53880769597953
12,True,144,1,42,46092.52678782518,214.69170172092163
12,True,233,1,42,46080.20546467507,214.6630044154676
3,False,34,1,42,25784.871192398787,160.57668321521274
3,False,34,2,42,23803.52249892841,154.2839022676326
3,False,34,3,42,23906.329849188376,154.61671917741748
3,False,34,5,42,25958.77246326999,161.1172630827311
3,False,34,8,42,29718.157185685217,172.38955068589632
3,False,34,13,42,35869.956394656256,189.39365457864807
3,False,34,21,42,46079.772141054134,214.66199510172763
3,False,34,34,42,59881.52806591585,244.70702496233298
3,False,34,55,42,78047.25691680316,279.3693915174015
3,False,34,89,42,99108.63528129726,314.8152399127102
3,False,34,144,42,122233.57378417315,349.619183947582
3,False,34,233,42,143425.0658647491,378.71501932818705
6,False,34,1,42,26098.08679846886,161.54902289543213
6,False,34,2,42,24062.432556340053,155.12070318413353
6,False,34,3,42,24194.194952645863,155.54483261312754
6,False,34,5,42,26546.68674361469,162.93154005168762
6,False,34,8,42,30389.224240255404,174.3250533923779
6,False,34,13,42,37028.74745642138,192.42855156244713
6,False,34,21,42,47350.49248111679,217.60168308429232
6,False,34,34,42,61444.47666311994,247.87996422284706
6,False,34,55,42,79388.3188636953,281.759327908936
6,False,34,89,42,100506.47619886781,317.02756378407827
6,False,34,144,42,123489.31064191012,351.4104589250441
6,False,34,233,42,145077.73890947722,380.89071780430305
12,False,34,1,42,26031.583542902084,161.34306165094947
12,False,34,2,42,24116.977744770607,155.2964189695648
12,False,34,3,42,24231.34091748023,155.66419279166365
12,False,34,5,42,26437.415781598946,162.59586643454054
12,False,34,8,42,30533.064349905497,174.73712928254687
12,False,34,13,42,36822.75116116541,191.89255108306162
12,False,34,21,42,46801.471525326124,216.33647756521813
12,False,34,34,42,60842.41289110452,246.66254861876482
12,False,34,55,42,79365.3058684634,281.71848691284606
12,False,34,89,42,100214.76472812268,316.5671567426455
12,False,34,144,42,123139.81613885362,350.91283267907664
12,False,34,233,42,145079.36665339913,380.8928545580753
3,True,55,1,42,43022.40997601115,207.41844174521017
3,True,55,2,42,46086.35358885364,214.67732434715512
3,True,55,3,42,52962.95728624049,230.1368229689471
3,True,55,5,42,74079.40135752532,272.17531364457966
3,True,55,8,42,98692.45826766483,314.15355841954874
3,True,55,13,42,124028.75727035377,352.1771674460935
3,True,55,21,42,160254.70438605823,400.31825387566107
3,True,55,34,42,180277.14448190306,424.5905609901179
3,True,55,55,42,196245.43522097194,442.99597652910114
3,True,55,89,42,208865.6442509184,457.0182099773689
3,True,55,144,42,218212.3671034502,467.1320660192899
3,True,55,233,42,236526.41654066238,486.3398159113259
6,True,55,1,42,51847.93238056496,227.70141058097326
6,True,55,2,42,51303.96061380809,226.5037761579442
6,True,55,3,42,57439.366448475856,239.66511312344952
6,True,55,5,42,77959.65638383369,279.21256487456594
6,True,55,8,42,104839.29424639669,323.78896560321
6,True,55,13,42,129504.27421724677,359.86702296438165
6,True,55,21,42,151670.79257358998,389.4493453243823
6,True,55,34,42,170074.69077377417,412.4011284826633
6,True,55,55,42,186098.2282221189,431.39103864373317
6,True,55,89,42,207000.55896319402,454.9731409250375
6,True,55,144,42,224128.355503769,473.42196347842696
6,True,55,233,42,233462.11357014184,483.17917336133377
12,True,34,1,42,45983.38175138426,214.4373609037946
12,True,34,2,42,47250.7644642418,217.37240962054454
12,True,34,3,42,52737.54879978706,229.6465736730837
12,True,34,5,42,72549.5367292342,269.3502120460168
12,True,34,8,42,93940.79313845094,306.4976233814072
12,True,34,13,42,118000.0311667486,343.51132611130686
12,True,34,21,42,142152.53315248355,377.0312097857199
12,True,34,34,42,167008.91605987982,408.66724368351305
12,True,34,55,42,191085.8777001404,437.13370689085554
12,True,34,89,42,203170.87356798464,450.7447987142887
12,True,34,144,42,220714.53618783,469.80265664194576
12,True,34,233,42,233920.4489760232,483.653232157114
