n_folds,test_score,train_score,arch,fixed_parameters
4,0.4605,0.4779,[2],"{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.5711,0.5325,[3],"{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.5395,0.4746,[4],"{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.5184,0.4912,[5],"{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4132,0.632,[6],"{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4316,0.5547,[7],"{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.5079,0.4984,[9],"{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.5421,0.4687,[14],"{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4342,0.5573,[28],"{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.5684,0.6315,[56],"{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.5421,0.5962,[84],"{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4632,0.5861,"[2, 2]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4237,0.6372,"[2, 3]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4316,0.5547,"[2, 4]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4132,0.632,"[2, 5]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.4289,0.4675,"[2, 6]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
4,0.5526,0.6099,"[2, 7]","{'acitvation_func': 'relu', 'solver': 'adam', 'alpha': 0.1, 'max_iter': 500}"
