n_estimators,max_depth,min_samples_leaf,train_accuracy_t1,train_accuracy_t2,train_accuracy,valid_accuracy_t1,valid_accuracy_t2,valid_accuracy
2,10,2,0.82,0.8,0.685,0.569,0.518,0.314
2,10,4,0.823,0.824,0.694,0.538,0.534,0.309
2,10,6,0.81,0.797,0.665,0.604,0.573,0.363
2,10,8,0.815,0.809,0.676,0.616,0.484,0.304
2,10,10,0.781,0.771,0.624,0.585,0.541,0.339
2,20,2,0.921,0.922,0.862,0.572,0.552,0.342
2,20,4,0.91,0.916,0.846,0.558,0.572,0.33
2,20,6,0.898,0.904,0.821,0.582,0.554,0.335
2,20,8,0.879,0.881,0.786,0.517,0.487,0.287
2,20,10,0.872,0.865,0.764,0.564,0.553,0.318
2,30,2,0.917,0.925,0.86,0.513,0.562,0.295
2,30,4,0.92,0.918,0.856,0.577,0.592,0.352
2,30,6,0.906,0.91,0.834,0.557,0.544,0.323
2,30,8,0.877,0.873,0.775,0.577,0.544,0.341
2,30,10,0.872,0.867,0.768,0.574,0.57,0.339
2,40,2,0.917,0.925,0.86,0.513,0.562,0.295
2,40,4,0.92,0.918,0.856,0.577,0.592,0.352
2,40,6,0.906,0.91,0.834,0.557,0.544,0.323
2,40,8,0.877,0.873,0.775,0.577,0.544,0.341
2,40,10,0.872,0.867,0.768,0.574,0.57,0.339
2,50,2,0.917,0.925,0.86,0.513,0.562,0.295
2,50,4,0.92,0.918,0.856,0.577,0.592,0.352
2,50,6,0.906,0.91,0.834,0.557,0.544,0.323
2,50,8,0.877,0.873,0.775,0.577,0.544,0.341
2,50,10,0.872,0.867,0.768,0.574,0.57,0.339
2,60,2,0.917,0.925,0.86,0.513,0.562,0.295
2,60,4,0.92,0.918,0.856,0.577,0.592,0.352
2,60,6,0.906,0.91,0.834,0.557,0.544,0.323
2,60,8,0.877,0.873,0.775,0.577,0.544,0.341
2,60,10,0.872,0.867,0.768,0.574,0.57,0.339
2,70,2,0.917,0.925,0.86,0.513,0.562,0.295
2,70,4,0.92,0.918,0.856,0.577,0.592,0.352
2,70,6,0.906,0.91,0.834,0.557,0.544,0.323
2,70,8,0.877,0.873,0.775,0.577,0.544,0.341
2,70,10,0.872,0.867,0.768,0.574,0.57,0.339
2,80,2,0.917,0.925,0.86,0.513,0.562,0.295
2,80,4,0.92,0.918,0.856,0.577,0.592,0.352
2,80,6,0.906,0.91,0.834,0.557,0.544,0.323
2,80,8,0.877,0.873,0.775,0.577,0.544,0.341
2,80,10,0.872,0.867,0.768,0.574,0.57,0.339
2,90,2,0.917,0.925,0.86,0.513,0.562,0.295
2,90,4,0.92,0.918,0.856,0.577,0.592,0.352
2,90,6,0.906,0.91,0.834,0.557,0.544,0.323
2,90,8,0.877,0.873,0.775,0.577,0.544,0.341
2,90,10,0.872,0.867,0.768,0.574,0.57,0.339
2,100,2,0.917,0.925,0.86,0.513,0.562,0.295
2,100,4,0.92,0.918,0.856,0.577,0.592,0.352
2,100,6,0.906,0.91,0.834,0.557,0.544,0.323
2,100,8,0.877,0.873,0.775,0.577,0.544,0.341
2,100,10,0.872,0.867,0.768,0.574,0.57,0.339
4,10,2,0.88,0.875,0.782,0.638,0.594,0.383
4,10,4,0.873,0.864,0.762,0.6,0.587,0.371
4,10,6,0.861,0.857,0.745,0.647,0.617,0.405
4,10,8,0.866,0.859,0.754,0.627,0.544,0.362
4,10,10,0.84,0.836,0.712,0.619,0.599,0.399
4,20,2,0.974,0.976,0.952,0.591,0.593,0.369
4,20,4,0.957,0.961,0.923,0.583,0.585,0.364
4,20,6,0.941,0.945,0.892,0.612,0.577,0.371
4,20,8,0.932,0.934,0.873,0.577,0.542,0.334
4,20,10,0.916,0.921,0.847,0.588,0.595,0.371
4,30,2,0.973,0.976,0.951,0.556,0.54,0.304
4,30,4,0.96,0.964,0.93,0.588,0.628,0.38
4,30,6,0.944,0.947,0.897,0.595,0.578,0.363
4,30,8,0.931,0.93,0.869,0.599,0.567,0.354
4,30,10,0.922,0.924,0.855,0.557,0.582,0.342
4,40,2,0.973,0.976,0.95,0.556,0.54,0.304
4,40,4,0.96,0.964,0.93,0.588,0.628,0.38
4,40,6,0.944,0.947,0.897,0.595,0.578,0.363
4,40,8,0.931,0.93,0.869,0.599,0.567,0.354
4,40,10,0.922,0.924,0.855,0.557,0.582,0.342
4,50,2,0.973,0.976,0.951,0.556,0.54,0.304
4,50,4,0.96,0.964,0.93,0.588,0.628,0.38
4,50,6,0.944,0.947,0.897,0.595,0.578,0.363
4,50,8,0.931,0.93,0.869,0.599,0.567,0.354
4,50,10,0.922,0.924,0.855,0.557,0.582,0.342
4,60,2,0.973,0.976,0.951,0.556,0.54,0.304
4,60,4,0.96,0.964,0.93,0.588,0.628,0.38
4,60,6,0.944,0.947,0.897,0.595,0.578,0.363
4,60,8,0.931,0.93,0.869,0.599,0.567,0.354
4,60,10,0.922,0.924,0.855,0.557,0.582,0.342
4,70,2,0.973,0.976,0.951,0.556,0.54,0.304
4,70,4,0.96,0.964,0.93,0.588,0.628,0.38
4,70,6,0.944,0.947,0.897,0.595,0.578,0.363
4,70,8,0.931,0.93,0.869,0.599,0.567,0.354
4,70,10,0.922,0.924,0.855,0.557,0.582,0.342
